Name,University,Course,Year,Season,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,Undergrad_score_Metric,work_ex (Months)
Balvaishwer,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,313,TOEFL,0,0.84,%,24
Skywalker95,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,317,TOEFL,101,0.67,%,18
Disha0701,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,308,TOEFL,84,0.69,%,43
nikhil714,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,308,IELTS,0,7.31,CGPA,23
mischief-managed,University at Buffalo SUNY,Management Information System,2015,Fall,Admit,311,TOEFL,111,0.6,%,40
Sharon27,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,317,IELTS,7.5,7.93,CGPA,57
Aniru06,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,312,TOEFL,92,0.75,%,50
Patty1993,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,305,TOEFL,109,0.65,%,29
shruti7,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,303,TOEFL,91,7.7,CGPA,1
anandm1993,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,309,TOEFL,105,0.87,%,30
ashwinsr20,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,312,TOEFL,0,7.7,CGPA,0
hrgupta,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,310,TOEFL,107,7.39,CGPA,14
abhishek-yocket-8,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,308,TOEFL,100,0.58,%,12
Kibria,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,305,TOEFL,88,9,CGPA,40
Girih,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,307,TOEFL,101,8.63,CGPA,45
jaaaaadu,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,308,TOEFL,101,7.3,CGPA,9
priyankaguha36,University at Buffalo SUNY,Management Information System,2018,Fall,Reject, ,TOEFL,90,0.82,%,48
Aditya-Manmode,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,304,TOEFL,88,0.64,%,47
lxmirmsh,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,300,TOEFL,104,0.74,%,29
Sanchsabharwal,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,308,TOEFL,100,9.23,CGPA,26
5amuel,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,312,TOEFL,110,6.8,CGPA,60
abhishek1412,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,308,TOEFL,90,0.69,%,54
sharad83pz,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,305,TOEFL,98,0.74,%,34
div0724,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,308,TOEFL,100,0.64,%,29
Giridhar312,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,311,IELTS,7,7.74,CGPA,25
viky94,University at Buffalo SUNY,Management Information System,2018,Fall,Reject,301,TOEFL,84,7.67,CGPA,50
pranay1996,University at Buffalo SUNY,Management Information System,2019,Fall,Interested,310,TOEFL,99,6.48,CGPA,12
Apoorva171996,University at Buffalo SUNY,Management Information System,2019,Spring,Interested,302,TOEFL,100,0.71,%,0
Kaityln,University at Buffalo SUNY,Management Information System,2019,Fall,Interested, ,IELTS,8,7.4,CGPA,12
ManeeshMettu,University at Buffalo SUNY,Management Information System,2019,Fall,Interested,315,TOEFL,112,8.3,CGPA,12
Himuuu,University at Buffalo SUNY,Management Information System,2018,Fall,Interested,309,TOEFL,100,7.2,CGPA,1
priyabalaji,University at Buffalo SUNY,Management Information System,2019,Fall,Interested, ,IELTS,7.5,7.35,CGPA,0
Dishu31,University at Buffalo SUNY,Management Information System,2019,Fall,Interested,315,TOEFL,100,7.54,CGPA,0
AATIK1993,University at Buffalo SUNY,Management Information System,2018,Fall,Interested,306,IELTS,8,0.71,%,20
nidhipriya1993,University at Buffalo SUNY,Management Information System,2019,Spring,Interested,298,TOEFL,90,9.12,CGPA,24
Niparash,Syracuse University,Management Information System,2018,Fall,Applied,304,TOEFL,98,7.81,CGPA,28
mischief-managed,Syracuse University,Management Information System,2015,Fall,Applied,311,TOEFL,111,0.6,%,40
saiyogesh,Syracuse University,Management Information System,2018,Fall,Applied,320,TOEFL,113,7.9,CGPA,17
SatwikKashyap,Syracuse University,Management Information System,2018,Fall,Applied,308,TOEFL,90,8.16,CGPA,43
Nidhiss,Syracuse University,Management Information System,2018,Fall,Applied,299,TOEFL,88,0.83,%,30
neetipopat,Syracuse University,Management Information System,2014,Fall,Applied,306,TOEFL,96,0.62,%,15
ChaitanyaMag,Syracuse University,Management Information System,2018,Fall,Applied,303,TOEFL,97,7,CGPA,16
Akhild17,Syracuse University,Management Information System,2018,Fall,Applied,300,TOEFL,88,0.6,%,29
Bhagyashri333,Syracuse University,Management Information System,2018,Fall,Applied,303,TOEFL,87,6.8,CGPA,8
Tanya13,Syracuse University,Management Information System,2018,Fall,Applied,315,TOEFL,112,8.24,CGPA,1
Kiah-kol,Syracuse University,Management Information System,2018,Fall,Applied,322,TOEFL,107,0.74,%,28
divsin12,Syracuse University,Management Information System,2018,Fall,Applied,296,TOEFL,91,0.72,%,20
chaitali922,Syracuse University,Management Information System,2018,Fall,Applied,308,TOEFL,101,7.79,CGPA,16
Mamta-h,Syracuse University,Management Information System,2018,Fall,Applied,302,TOEFL,90,7.75,CGPA,6
KAPIL TATHOD,Syracuse University,Management Information System,2018,Fall,Applied,306,IELTS,7,0.74,%,8
Radhika26,Syracuse University,Management Information System,2018,Fall,Applied,308,TOEFL,93,7.8,CGPA,26
BhavAce,Syracuse University,Management Information System,2018,Fall,Applied,312,TOEFL,113,10,CGPA,0
shreyadumbre 23,Syracuse University,Management Information System,2018,Fall,Applied,311,TOEFL,106,0.68,%,19
Saikumar91,Syracuse University,Management Information System,2018,Fall,Applied,297,TOEFL,81,0.62,%,46
amruthamandadi,Syracuse University,Management Information System,2018,Fall,Admit,306,TOEFL,97,0.73,%,42
viraj1331,Syracuse University,Management Information System,2018,Fall,Admit,317,IELTS,7,0.64,%,1
Aishwarya S,Syracuse University,Management Information System,2018,Fall,Admit,300,TOEFL,88,8.18,CGPA,24
priyankaguha36,Syracuse University,Management Information System,2018,Fall,Admit, ,TOEFL,90,0.82,%,48
SagarMulani,Syracuse University,Management Information System,2018,Fall,Admit,308,TOEFL,99,0.65,%,19
hrgupta,Syracuse University,Management Information System,2018,Fall,Admit,310,TOEFL,107,7.39,CGPA,14
ParthMehta,Syracuse University,Management Information System,2018,Fall,Admit,314,TOEFL,106,9.15,CGPA,0
AkRel,Syracuse University,Management Information System,2018,Fall,Admit,302,TOEFL,101,0.65,%,30
adi1993,Syracuse University,Management Information System,2018,Fall,Admit,303,TOEFL,94,7.37,CGPA,27
KrithikaCT,Syracuse University,Management Information System,2018,Fall,Admit,301,TOEFL,0,0.8,%,60
aditi15,Syracuse University,Management Information System,2018,Fall,Admit,310,TOEFL,0,0.8,%,36
DrashtiShah,Syracuse University,Management Information System,2018,Fall,Admit,308,TOEFL,95,3.5,CGPA,3
ArthiAbilasha,Syracuse University,Management Information System,2018,Fall,Admit,302,IELTS,0,7.3,CGPA,1
Kripesh,Syracuse University,Management Information System,2018,Fall,Admit,304,TOEFL,96,7.87,CGPA,12
rshetty,Syracuse University,Management Information System,2018,Fall,Admit,307,TOEFL,111,7.6,CGPA,0
Hemangjalali,Syracuse University,Management Information System,2018,Fall,Admit,307,TOEFL,94,0.79,%,37
ishan147,Syracuse University,Management Information System,2018,Fall,Admit,312,TOEFL,104,8.7,CGPA,20
AbhinavSharma0794,Syracuse University,Management Information System,2018,Fall,Admit,319,TOEFL,114,6.71,CGPA,14
arpita103,Syracuse University,Management Information System,2018,Fall,Reject,300,TOEFL,93,0.69,%,82
Ajay94,Syracuse University,Management Information System,2018,Fall,Reject,302,TOEFL,86,0.65,%,27
aparikh4,Syracuse University,Management Information System,2018,Fall,Reject,308,TOEFL,89,7.5,CGPA,32
Setu04,Syracuse University,Management Information System,2018,Fall,Reject,308,TOEFL,102,7.09,CGPA,0
MAnkeerat,Syracuse University,Management Information System,2018,Fall,Reject,300,TOEFL,99,7.14,CGPA,39
akshat95,Syracuse University,Management Information System,2018,Fall,Reject,309,TOEFL,0,7.41,CGPA,17
Rushikesh420,Syracuse University,Management Information System,2018,Fall,Reject,298,TOEFL,0,0.57,%,6
Pratik Kadi,Syracuse University,Management Information System,2018,Fall,Reject,302,TOEFL,81,0.57,%,42
shub23,Syracuse University,Management Information System,2018,Fall,Reject,305,TOEFL,0,6.82,CGPA,3
RuchiNiwalkar,Syracuse University,Management Information System,2018,Fall,Reject,302,TOEFL,97,0.65,%,27
Snehaw,Syracuse University,Management Information System,2018,Fall,Reject,299,TOEFL,97,0.72,%,48
Jayeshiyer,Syracuse University,Management Information System,2018,Fall,Reject,307,IELTS,7,0.54,%,31
JayPatel8394,Syracuse University,Management Information System,2018,Fall,Reject,297,TOEFL,99,0.56,%,24
@mihir,Syracuse University,Management Information System,2018,Fall,Reject,305,TOEFL,98,0.5,%,17
HardikSoni,Syracuse University,Management Information System,2018,Fall,Reject,296,TOEFL,93,0.64,%,64
Mansi003,Syracuse University,Management Information System,2018,Fall,Reject,300,TOEFL,90,7,CGPA,12
srishti1995,Syracuse University,Management Information System,2018,Fall,Reject,297,TOEFL,88,0.81,%,20
kenil,Syracuse University,Management Information System,2018,Fall,Reject,323,TOEFL,110,8.55,CGPA,0
Alloy,Syracuse University,Management Information System,2018,Fall,Reject,302,IELTS,7,8.22,CGPA,8
lokesh2334,Syracuse University,Management Information System,2019,Spring,Interested,295,TOEFL,93,0.54,%,41
vivekku9944,Syracuse University,Management Information System,2018,Fall,Interested,293,TOEFL,82,0.55,%,22
Arpi99,Syracuse University,Management Information System,2019,Spring,Interested,281,IELTS,6.5,0.74,%,60
rajesh020393,Syracuse University,Management Information System,2019,Spring,Interested,295,IELTS,6,6.7,CGPA,24
aastha1897,Syracuse University,Management Information System,2019,Spring,Interested,312,IELTS,7.5,7.9,CGPA,0
kiniaditya,Syracuse University,Management Information System,2019,Fall,Interested,305,IELTS,7,8.11,CGPA,0
priyabalaji,Syracuse University,Management Information System,2019,Fall,Interested,  ,IELTS,7.5,7.35,CGPA,0
Venkateshsivakumar,Syracuse University,Management Information System,2019,Spring,Interested,296,TOEFL,81,7.37,CGPA,43
sidd1694,Syracuse University,Management Information System,2019,Spring,Interested,316,IELTS,7.5,0.7,%,28
sisirchinferno,Syracuse University,Management Information System,2019,Spring,Interested,308,TOEFL,100,6.47,CGPA,38
pranavtiwari,Syracuse University,Management Information System,2019,Fall,Interested,319,TOEFL,100,0.62,%,12
diviraj,Syracuse University,Management Information System,2019,Spring,Interested,303,TOEFL,103,9,CGPA,2
manishsombansh ,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,316,TOEFL,102,7.58,CGPA,42
avi0821,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,314,TOEFL,100,7.4,CGPA,24
SnehaB,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,312,TOEFL,98,0.78,%,31
Pritha2,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,309,IELTS,8,8,CGPA,0
Shivapriyak,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,317,TOEFL,103,0.79,%,60
priyanshbendre,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,309,TOEFL,103,0.69,%,0
Anuja1011,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,309,TOEFL,103,0.74,%,13
samman,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,315,TOEFL,103,0.66,%,11
Pankajnarcisst,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,321,TOEFL,104,0.71,%,76
PrateekMaini,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,320,TOEFL,116,0.82,%,0
Sdh,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,318,TOEFL,112,0.8,%,16
OnTop09,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,315,TOEFL,100,0.72,%,43
akansha-srivastava,"Texas A&M; University, College Station",Management Information System,2014,Fall,Applied,324,TOEFL,104,0.9,%,29
Js1994,"Texas A&M; University, College Station",Management Information System,2017,Fall,Applied,316,TOEFL,102,7.99,CGPA,13
Useless,"Texas A&M; University, College Station",Management Information System,2017,Fall,Applied,327,TOEFL,110,7.43,CGPA,20
kripadixit,"Texas A&M; University, College Station",Management Information System,2017,Fall,Applied,322,TOEFL,112,0.7,%,31
Ankit110691,"Texas A&M; University, College Station",Management Information System,2018,Fall,Applied,317,TOEFL,100,0.8,%,43
akhanna,"Texas A&M; University, College Station",Management Information System,2017,Fall,Applied,317,TOEFL,114,8.02,CGPA,21
pmesh,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,320,TOEFL,117,0.59,%,30
Sonali2810,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,322,TOEFL,110,0.79,%,27
Balvaishwer,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,313,TOEFL,0,0.84,%,24
rahulvg,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,314,TOEFL,0,0.78,%,6
ganeshpu,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,309,IELTS,7,8.5,CGPA,16
thevivekdwivedi,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,320,TOEFL,111,7.98,CGPA,30
RheaSharma,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,330,TOEFL,108,7.2,CGPA,12
theharishkm,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit, ,TOEFL,104,8.15,CGPA,33
ishan147,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,312,TOEFL,104,8.7,CGPA,20
shreyank96,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,325,TOEFL,116,8.48,CGPA,2
Mudra,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,309,TOEFL,94,0.88,%,60
divsin12,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,296,TOEFL,91,0.72,%,20
Triptha,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,309,IELTS,8,7.95,CGPA,3
muktika,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,307,TOEFL,103,8,CGPA,34
Rajeshwari Raji,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,317,TOEFL,0,8,CGPA,34
Pranay9,"Texas A&M; University, College Station",Management Information System,2018,Fall,Admit,315,IELTS,7.5,0.66,%,30
aditi04upreti,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,306,TOEFL,104,7.5,CGPA,34
Skywalker95,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,317,TOEFL,101,0.67,%,18
tarunreddy7,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,315,TOEFL,104,6.97,CGPA,18
Shreepriya,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,312,TOEFL,110,8.6,CGPA,24
Vedang07,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,317,TOEFL,108,8.2,CGPA,0
khyati20,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,313,TOEFL,101,0.68,%,42
ritika101,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,307,TOEFL,105,0.72,%,54
Chaitaniya,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,311,TOEFL,107,0.68,%,16
jaaaaadu,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,308,TOEFL,101,7.3,CGPA,9
Devash,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,305,TOEFL,100,9,CGPA,43
DeepTalati,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,319,IELTS,7,0.85,%,7
Adityakh5,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,318,IELTS,7.5,0.72,%,60
ydave,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,306,TOEFL,100,0.61,%,40
Zo,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,305,TOEFL,95,8.54,CGPA,34
Annieee,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,316,IELTS,7,8.47,CGPA,36
frey_b,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,300,TOEFL,103,9,CGPA,30
reddy531,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,308,TOEFL,104,8.2,CGPA,23
Varuntan,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,308,TOEFL,98,0.65,%,25
bara,"Texas A&M; University, College Station",Management Information System,2018,Fall,Reject,320,TOEFL,108,0.65,%,41
diviraj,"Texas A&M; University, College Station",Management Information System,2019,Spring,Interested,303,TOEFL,103,9,CGPA,2
kratikasainferno,"Texas A&M; University, College Station",Management Information System,2019,Spring,Interested,306,TOEFL,102,0.65,%,26
ManeeshMettu,"Texas A&M; University, College Station",Management Information System,2019,Fall,Interested,315,TOEFL,112,8.3,CGPA,12
Orpheus4256,"Texas A&M; University, College Station",Management Information System,2019,Fall,Interested,310,TOEFL,106,7.92,CGPA,35
bharathku1995,"Texas A&M; University, College Station",Management Information System,2018,Fall,Interested, ,IELTS,7,0.62,%,0
AnuragMastBanda,"Texas A&M; University, College Station",Management Information System,2019,Fall,Interested,319,TOEFL,90,0.63,%,0
Shivam8587,"Texas A&M; University, College Station",Management Information System,2020,Fall,Interested,329,TOEFL,110,6.5,CGPA,6
AbhinavSharma0794,University of Cincinnati,Management Information System,2018,Fall,Applied,319,TOEFL,114,6.71,CGPA,14
Shubhi20,University of Cincinnati,Management Information System,2018,Fall,Applied,309,IELTS,7.5,9.24,CGPA,40
sayedshazeb,University of Cincinnati,Management Information System,2018,Fall,Applied,309,TOEFL,101,0.7,%,27
darshit96,University of Cincinnati,Management Information System,2018,Fall,Applied,322,TOEFL,104,8.3,CGPA,0
somguria,University of Cincinnati,Management Information System,2018,Fall,Applied,302,IELTS,7,8.4,CGPA,41
abhijay22,University of Cincinnati,Management Information System,2018,Fall,Applied,319,TOEFL,101,6.57,CGPA,15
shreyadumbre 23,University of Cincinnati,Management Information System,2018,Fall,Applied,311,TOEFL,106,0.68,%,19
Abhinavsharma071994,University of Cincinnati,Management Information System,2018,Fall,Applied,319,TOEFL,114,6.71,CGPA,14
Ami0603,University of Cincinnati,Management Information System,2018,Fall,Applied,314,TOEFL,106,7.63,CGPA,6
aditichawla,University of Cincinnati,Management Information System,2018,Fall,Applied,304,IELTS,7,0.79,%,30
drohit16,University of Cincinnati,Management Information System,2018,Fall,Applied,317,TOEFL,111,0.87,%,20
Rakesh301323,University of Cincinnati,Management Information System,2018,Fall,Applied,323,TOEFL,97,0.62,%,49
Amodoi,University of Cincinnati,Management Information System,2018,Fall,Applied,307,TOEFL,99,0.67,%,16
akansha-srivastava,University of Cincinnati,Management Information System,2014,Fall,Applied,324,TOEFL,104,0.9,%,29
supratik,University of Cincinnati,Management Information System,2018,Fall,Applied,307,IELTS,7,7.61,CGPA,37
Soham2028,University of Cincinnati,Management Information System,2018,Fall,Applied,311,TOEFL,98,0.68,%,18
GKSHRAVYARAO,University of Cincinnati,Management Information System,2017,Fall,Applied,317,TOEFL,109,6.34,CGPA,13
prithivraj,University of Cincinnati,Management Information System,2017,Fall,Applied,316,TOEFL,105,7.4,CGPA,45
rohit2448,University of Cincinnati,Management Information System,2017,Fall,Applied,310,IELTS,8,0.78,%,38
pavithra25,University of Cincinnati,Management Information System,2018,Fall,Admit,308,TOEFL,105,0.85,%,60
rahulNeo,University of Cincinnati,Management Information System,2018,Fall,Admit,311,IELTS,7,0.75,%,32
pmesh,University of Cincinnati,Management Information System,2018,Fall,Admit,320,TOEFL,117,0.59,%,30
ishanja1996,University of Cincinnati,Management Information System,2018,Fall,Admit,307,TOEFL,97,6,CGPA,0
bharubbaskar,University of Cincinnati,Management Information System,2018,Fall,Admit,313,TOEFL,98,8.92,CGPA,44
Aarushi7,University of Cincinnati,Management Information System,2018,Fall,Admit,309,IELTS,7,0.71,%,36
DarshanaB,University of Cincinnati,Management Information System,2018,Fall,Admit,310,TOEFL,99,0.71,%,38
mischief-managed,University of Cincinnati,Management Information System,2015,Fall,Admit,311,TOEFL,111,0.6,%,40
ishan147,University of Cincinnati,Management Information System,2018,Fall,Admit,312,TOEFL,104,8.7,CGPA,20
dtaneja0911,University of Cincinnati,Management Information System,2018,Fall,Admit,311,TOEFL,91,0.81,%,60
tanvi-jain,University of Cincinnati,Management Information System,2018,Fall,Admit,315,TOEFL,96,7.09,CGPA,25
Pranay9,University of Cincinnati,Management Information System,2018,Fall,Admit,315,IELTS,7.5,0.66,%,30
lalits,University of Cincinnati,Management Information System,2018,Fall,Admit,321,TOEFL,112,0.63,%,60
anshul0414,University of Cincinnati,Management Information System,2018,Fall,Admit,316,TOEFL,103,0.81,%,13
saiyogesh,University of Cincinnati,Management Information System,2018,Fall,Admit,320,TOEFL,113,7.9,CGPA,17
vishal khatri,University of Cincinnati,Management Information System,2018,Fall,Admit,326,TOEFL,113,0.69,%,44
pratzpurohit,University of Cincinnati,Management Information System,2018,Fall,Admit,313,TOEFL,109,0.82,%,25
saswata,University of Cincinnati,Management Information System,2018,Fall,Admit,309,TOEFL,100,8.61,CGPA,39
anusha2304,University of Cincinnati,Management Information System,2018,Fall,Reject,311,TOEFL,100,0.77,%,25
JaySomaiya,University of Cincinnati,Management Information System,2018,Fall,Reject,317,TOEFL,110,6.93,CGPA,25
akshat95,University of Cincinnati,Management Information System,2018,Fall,Reject,309,TOEFL,0,7.41,CGPA,17
DeepTalati,University of Cincinnati,Management Information System,2018,Fall,Reject,319,IELTS,7,0.85,%,7
heenal211,University of Cincinnati,Management Information System,2018,Fall,Reject,313,TOEFL,100,7.65,CGPA,0
RushilAnand,University of Cincinnati,Management Information System,2018,Fall,Reject,306,TOEFL,103,0.63,%,27
frey_b,University of Cincinnati,Management Information System,2018,Fall,Reject,300,TOEFL,103,9,CGPA,30
kenil,University of Cincinnati,Management Information System,2018,Fall,Reject,323,TOEFL,110,8.55,CGPA,0
sharad83pz,University of Cincinnati,Management Information System,2018,Fall,Reject,305,TOEFL,98,0.74,%,34
----------,University of Cincinnati,Management Information System,2018,Fall,Reject, ,TOEFL,102,8.87,CGPA,30
YHaider007,University of Cincinnati,Management Information System,2018,Fall,Reject,307,TOEFL,94,6.43,CGPA,40
Tanya13,University of Cincinnati,Management Information System,2018,Fall,Reject,315,TOEFL,112,8.24,CGPA,1
dl4android,University of Cincinnati,Management Information System,2018,Fall,Reject,329,TOEFL,115,0.66,%,0
Lakshay1,University of Cincinnati,Management Information System,2018,Fall,Reject,306,TOEFL,95,0.65,%,20
Sugbug,University of Cincinnati,Management Information System,2019,Spring,Reject,304,TOEFL,104,8.7,CGPA,16
divsin12,University of Cincinnati,Management Information System,2018,Fall,Reject,296,TOEFL,91,0.72,%,20
nishanth10,University of Cincinnati,Management Information System,2018,Fall,Reject,306,TOEFL,94,7.6,CGPA,35
SrikanthReddy1993,University of Cincinnati,Management Information System,2018,Fall,Reject,297,TOEFL,90,8.9,CGPA,26
ManavMehta,University of Cincinnati,Management Information System,2018,Fall,Reject,304,IELTS,7,0.79,%,30
Abhiggg,University of Cincinnati,Management Information System,2018,Fall,Interested,314,TOEFL,100,8.5,CGPA,15
Orpheus4256,University of Cincinnati,Management Information System,2019,Fall,Interested,310,TOEFL,106,7.92,CGPA,35
Denzel,University of Cincinnati,Management Information System,2019,Spring,Interested,322,TOEFL,113,6.8,CGPA,30
Sujesh,University of Cincinnati,Management Information System,2019,Fall,Interested,321,TOEFL,114,7.58,CGPA,38
bhanureddy27,University of Cincinnati,Management Information System,2019,Spring,Interested,299,IELTS,7,7.8,CGPA,18
MVPAVANKUMARREDDY,University of Cincinnati,Management Information System,2019,Spring,Interested,290,IELTS,7,0.76,%,8
Triplek,"University of California, Los Angeles",Management Information System,2018,Fall,Applied,311,TOEFL,102,0.74,%,85
zora,"University of California, Los Angeles",Management Information System,2018,Spring,Applied,302,IELTS,7,0.59,%,13
lavinakh,"University of California, Los Angeles",Management Information System,2016,Fall,Applied,311,TOEFL,100,0,%,0
sacharan,"University of California, Los Angeles",Management Information System,2016,Spring,Applied,290,TOEFL,80,6,CGPA,0
naveenchandar,"University of California, Los Angeles",Management Information System,2016,Fall,Applied,285,TOEFL,0,6.8,CGPA,0
kumbhalkar,"University of California, Los Angeles",Management Information System,2015,Fall,Applied,309,IELTS,7.5,0.68,%,0
akkimetry,"University of California, Los Angeles",Management Information System,2016,Fall,Applied,320,TOEFL,111,0.5,%,0
bharatchhabra,"University of California, Los Angeles",Management Information System,2016,Spring,Applied,312,TOEFL,96,6,CGPA,30
chandrakiran,"University of California, Los Angeles",Management Information System,2016,Fall,Applied,300,TOEFL,82,8,CGPA,0
shubham mansinghka,"University of California, Los Angeles",Management Information System,2018,Fall,Reject,322,TOEFL,100,7.72,CGPA,1
sohilveljee.stupidsid,"University of California, Los Angeles",Management Information System,2013,Fall,Reject,321,TOEFL,113,8.83,CGPA,20
ManeeshMettu,"University of California, Los Angeles",Management Information System,2019,Fall,Interested,315,TOEFL,112,8.3,CGPA,12
vivekku9944,"University of California, Los Angeles",Management Information System,2018,Fall,Interested,293,TOEFL,82,0.55,%,22
aknksgha,"University of California, Los Angeles",Management Information System,2018,Fall,Interested,316,IELTS,8,0.75,%,44
aman2129,"University of California, Los Angeles",Management Information System,2019,Fall,Interested,326,TOEFL,99,8.32,CGPA,12
Aravindj1994,"University of California, Los Angeles",Management Information System,2019,Spring,Interested, ,IELTS,7,7.93,CGPA,17
Anuj1141,"University of California, Los Angeles",Management Information System,2018,Fall,Interested,318,TOEFL,0,7.4,CGPA,34
Nishanthi,University of Florida,Management Information System,2018,Fall,Applied,313,TOEFL,100,8.02,CGPA,0
Sashank1005,University of Florida,Management Information System,2018,Fall,Applied,306,TOEFL,104,0.8,%,20
Nitin03,University of Florida,Management Information System,2018,Fall,Applied,304,TOEFL,100,0.83,%,15
VarunSG,University of Florida,Management Information System,2018,Fall,Applied,326,TOEFL,113,7.75,CGPA,6
Raghav11011,University of Florida,Management Information System,2018,Fall,Applied,313,TOEFL,98,7.1,CGPA,32
hlamba053,University of Florida,Management Information System,2018,Fall,Applied,304,TOEFL,100,0.64,%,35
AKHILPRASAD1994RAMAIAH,University of Florida,Management Information System,2018,Fall,Applied,305,TOEFL,102,8.33,CGPA,3
Asg1995,University of Florida,Management Information System,2018,Fall,Applied,306,TOEFL,96,8.2,CGPA,0
aish004,University of Florida,Management Information System,2018,Fall,Applied,306,TOEFL,100,0.78,%,17
dio,University of Florida,Management Information System,2018,Fall,Applied,309,TOEFL,94,6.45,CGPA,13
mrudulayb,University of Florida,Management Information System,2017,Fall,Applied,307,TOEFL,105,0.65,%,0
gursimran18,University of Florida,Management Information System,2018,Fall,Applied,293,IELTS,6.5,7.69,CGPA,17
div0724,University of Florida,Management Information System,2018,Fall,Applied,308,TOEFL,100,0.64,%,29
naqi2695,University of Florida,Management Information System,2018,Fall,Applied,303,TOEFL,95,6.9,CGPA,12
sakshi22,University of Florida,Management Information System,2018,Fall,Applied,304,TOEFL,111,0.7,%,12
akshaykhc15,University of Florida,Management Information System,2018,Fall,Applied,303,TOEFL,100,6.79,CGPA,19
Indurkar,University of Florida,Management Information System,2018,Fall,Applied,321,TOEFL,103,8.3,CGPA,16
Akash Sahu,University of Florida,Management Information System,2018,Fall,Applied,306,IELTS,6.5,6.92,CGPA,47
The0,University of Florida,Management Information System,2018,Fall,Admit,303,TOEFL,95,6.75,CGPA,15
themysterious07,University of Florida,Management Information System,2018,Fall,Admit,302,TOEFL,88,0.65,%,5
